party,ideology
AVANTE,0.17
CIDADANIA,0.10
DEM,0.68
MDB,0.11
NOVO,0.71
PATRIOTA,0.49
PATRI,0.49
PC DO B,-0.84
PCDOB,-0.84
PCO,-0.95
PDC,0.62
PDT,-0.43
PEN,0.30
PFL,0.68
PHS,0.25
PL,0.48
PMDB,0.11
PMN,-0.10
PODE,0.33
PP,0.68
PPL,-0.30
PPS,0.10
PR,0.48
PRB,0.49
PRN,0.75
PROS,0.03
PRP,0.50
PRTB,0.50
PSB,-0.54
PSC,0.57
PSD,0.36
PSDB,0.10
PSDC,0.55
PSL,0.80
PSOL,-0.92
PSTU,-0.83
PT,-0.71
PT DO B,0.20
PTDOB,0.20
PTB,0.40
PTC,0.30
PTN,0.30
PV,-0.19
REDE,-0.55
REP,0.49
REPUBLICANOS,0.49
SD,0.17
SOLIDARIEDADE,0.17
UNIAO,0.50
UP,-0.90
